name,description,cuisine
Seppakizhangu Roast (South Indian Style Arbi Fry) Recipe,"Seppakizhangu Roast Recipe is a much loved South Indian Style Arbi fry. This is made from Colocasia or Taro as the main ingredient, spiced in a South Indian style. It is crisp and makes a complete meal with simple south Indian meal of Rice and Rasam, or Phulkas and Parathas.",South Indian Recipes
Easy Roasted Tomato and Spinach Pasta Made Using Archana's Kitchen Multi Millet Penne Pasta,"This easy Roasted Tomato and Spinach Pasta, is made using the nutrition-packed Archana's Kitchen Multi Millet Penne Pasta. Infused with the goodness of ragi, jowar, bajra, and whole durum wheat, this multi-millet pasta not only offers a delightful texture but also brings a rich blend of flavors to your plate.The colours, simplicity and taste makes this as an absolute crowd pleaser. Impress your family and friends with this tasty Italian dish during house parties or weekend night dinners. Try this and we are sure you will make it again and again. ",Italian Recipes
Besan Arbi Roast Recipe - Spicy Colocasia Stir Fry,"Arbi is Colocasia or Taro Root. It’s a root vegetable which is gluten free and is rich in antioxidants, dietary fiber, minerals, vitamins. You can make it into a curry or in a stir fry. The arbi curry tastes delicious with rotis and puris. Arbi fry/roast makes a very good appetizer or starter, or can even be served as side dish for rajma chawal, dal-chawal or rasam rice.",Indian
Beetroot Hummus Recipe,"Beetroot Hummus Recipe is a simple and easy dip to make as an accompaniment to crackers or as a sandwich spread over toasted pieces of bread. You can either use raw beets or roast them in the oven for a better depth of flavour. This recipe uses beets roasted in the oven, blended with cooked chickpeas, garlic, pepper powder, lime juice, salt, tahini paste, basil leaves, olive oil and water. It’s an easy crowd-pleaser, and nutritious all at once. Serve the Beetroot Hummus with Salad.",Middle Eastern
Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry,"Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry is a wonderful way to prepare yam in Karwar style. It has all the flavors like sweet, tangy and spicy that will tingle the taste buds of your tongue. The yam is pressure cooked so that it will be slow cooked with all the spices which will bring out more flavors.",Karnataka
Goan Style Recheado Bangdo Recipe | Stuffed Mackerel,"Recheado or reshad Bangdo is one of the Goan Speciality where Bangdo or Mackerel is stuffed with Goan Recheado spice masala. This spice or masala can be prepared and stored in the refrigerator and be used whenever required. In Recheado Mackerel, the masala is stuffed inside the Mackerels and pan fried using cooking oil. For more better taste, it is always good to stuff these Mackerels and refrigerate overnight which helps in marination and the flavours also be absorbed better.",Goan Recipes
Curry Fried Quinoa Rice Recipe,Curry Fried Quinoa Rice Recipe is a quick and healthy recipe which can be made with one-day old quinoa and brown rice. This recipe is a great combination of vegetables and quinoa and works great for kids lunch boxes too. ,Indian
Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry,"Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry is a wonderful way to prepare yam in Karwar style. It has all the flavors like sweet, tangy and spicy that will tingle the taste buds of your tongue. The yam is pressure cooked so that it will be slow cooked with all the spices which will bring out more flavors.",Karnataka
Goan Style Recheado Bangdo Recipe | Stuffed Mackerel,"Recheado or reshad Bangdo is one of the Goan Speciality where Bangdo or Mackerel is stuffed with Goan Recheado spice masala. This spice or masala can be prepared and stored in the refrigerator and be used whenever required. In Recheado Mackerel, the masala is stuffed inside the Mackerels and pan fried using cooking oil. For more better taste, it is always good to stuff these Mackerels and refrigerate overnight which helps in marination and the flavours also be absorbed better.",Goan Recipes
Curry Fried Quinoa Rice Recipe,Curry Fried Quinoa Rice Recipe is a quick and healthy recipe which can be made with one-day old quinoa and brown rice. This recipe is a great combination of vegetables and quinoa and works great for kids lunch boxes too. ,Indian
Konkani Style Vengaya Sagle Recipe - Eggplant Drumstick Curry,"Konkani Style Vengaya Sagle Recipe is a very famous dish among the Konkani. “Sagle” in konkan means anything that is made with ground masala like coconut, coriander seeds and urad dal.  It has a very spicy and sweet flavor to it.  You can add any choice of your vegetable to this dish, keeping the ground masala constant.",Konkan
Southern Style Fried Chicken Recipe,Southern Style Fried Chicken is marination with buttermilk and fried with dry spices with double flour coating and with a egg wash. The secret lies after one takes a hearty chunky bite of crunchiness in the texture after frying of large chunks of chicken pieces and the juicy chicken fibre inside it.,American
Mixed Sprouts In Chettinad Masala Recipe,Mixed Sprouts In Chettinad Masala Recipe is a delicious sprouts dish cooked in an aromatic chettinad masala.,Chettinad
Goan Style French Beans Foogath Recipe,"Today’s post 'French Beans Foogath Recipe' is one comforting dish made from steamed french beans and lentils, that is very popular in Goa. This mildly spiced french beans curry tastes perfect with roti/hot rice accompanied with some Dal. Do try this easy and healthy dish and we are sure you will like it.",Goan Recipes
Chinese Savoury Rice Porridge Recipe With Pumpkin,"Chinese Savoury Rice Porridge Recipe With Pumpkin is a savoury, mild and delicious Chinese style rice porridge with pumpkin. Apart from regular meat recipes with a plethora of non-vegetarian main ingredients, Chinese people do love their vegetarian meals which include rice. This recipe originates in Guangdong province of Republic of China. Chinese use this comforting vegetarian meals when in sickness like cough or cold. The porridge is always followed by herbal green teas to balance the food and cleanse the body. Serve this Chinese Savoury Rice Porridge Recipe With Pumpkin alone, or alongdinnside Chinese Bhel Recipe (No Onion No Garlic) for weekday dinner.",Chinese
Spicy matar masala recipe,Spicy Matar Masala is a simple and easy dish which can be prepared in a short time. When you are out of vegetables these frozen matar come to your help. The Spicy Matar Masala is cooked in a gravy form where the matar is cooked in an onion and tomato base gravy.,Indian
Red Bean Mexican Burrito Bowl Recipe - Roz Ka Khana With Figaro Olive Oil,"Spiced Red Bean Mexican Burrito Bowl is a kind of bowl that gives you a sense of satisfaction and comforting taste the palate. Every a small portion of the the bowl, in combination with the Herbed Rice, Guacamole, Herbed Yogurt, Roasted Vegetables and Salsa, adds to the richness of the dish. ",Mexican
Goan Kaju Curry Recipe (Spicy Goan Cashew Nut Curry),"Goan Kaju Curry is yet another delicious dish from the western coast of India or the Konkan region. Goan Kaju Curry is normally made using the best quality goan cashew nuts and served as a vegetarian delicacy in goan weddings and parties. The Goan Kaju curry is made by following the traditional style of goan cooking which consists of roasting grated coconut along with onion, garlic and spices and addition of tamarind. Tamarind is used as a souring agent in most of the Goan dishes.",Goan Recipes
Chinese Egg Kathi Roll Recipe,"Chinese Egg Kathi Rolls make for a high protein snack for kids when they get back from school or from an sport activity. These rolls are made from fried eggs that are cooked along with chinese oats and made into strips and wrapped in a paratha. If you have some paratha handy at home, these rolls can be made in a jiffy for an evening snack.",Bengali Recipes
Soya Chunks And Beetroot Biryani Recipe,"Soya Chunks & Beetroot Biryani is a South Indian style Biryani recipe which is flavoured with freshly ground coriander powder,coconut milk and other Indian spices",Indian
Kathirikai Pitlai Recipe - South Indian Tangy & Spicy Brinjal Curry ,"Kathirikai Pitlai Recipe is a traditional South Indian made with eggplant/brinjal. The the pitlai curry is made with freshly roasted and ground condiments and made tangy with tamarind. The toor dal adds to the protein, making this dish wholesome and nutritious.",Tamil Nadu
Mushroom Caldine Recipe | Vegetarian Goan Mushroom Curry,Mushroom Caldine is delicious vegetarian coconut curry where the mushroom is cooked in coconut milk and tamarind with freshly ground masala. It makes a perfect light meal anytime with some buttered pav buns or goan pav on the side. ,Goan Recipes
Naked Burrito Bowl Recipe,"Naked burrito bowl is a super healthy meal, which essentially is a burrito like meal minus the tortilla. This bowl is loaded with all the goodness of vegetables served with condiments having different flavours.  ",Mexican
One Pot Tomato Rice Recipe Using Preethi Electric Pressure Cooker - Thakkali Sadam,"Tomato Rice popularly called as Thakkali Sadam in South India is a very quick to make rice dish that is packed with flavours from tomatoes, cardamom, and the Sambar Powder. Most often tomato rice is made from leftover rice, but in this recipe you will notice we have made it super simple using an electric pressure cooker where the rice gets done in just 20 minutes. ",South Indian Recipes
Panasa Pottu Pappu Koora Recipe - JackFruit & Dal Curry,"This wholesome, Panasa Pottu Pappu Koora Recipe is an Andhra style dry sabzi made using raw jackfruit and moong dal.",Andhra
Maharashtrian Masale Baath Recipe - Spicy Vegetable Rice with Goda Masala,Maharashtrian Masale Bhat Recipe is a rice preparation from Maharashtra which gets it unique taste from the addition of Goda masala. The conventional Goda Masala provides the spicy and tangy flavour to this rice preparation. Along with rice plenty of colorful seasonal vegetables are also added to the Masala Bhath.,Indian
